Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in
Kyle Allamon,TE,Texas Tech,6-2,253.0,4.97,29.0,,104.0,7.29,4.49,2000,74.0
Rashard Anderson,CB,Jackson State,6-2,206.0,4.55,34.0,,123.0,7.18,4.15,2000,74.0
Reggie Austin,CB,Wake Forest,5-9,175.0,4.44,35.0,17.0,119.0,7.03,4.14,2000,69.0
Rashidi Barnes,S,Colorado,6-0,208.0,4.62,35.0,10.0,114.0,6.92,4.32,2000,72.0
David Barrett,CB,Arkansas,5-10,199.0,4.44,37.5,16.0,116.0,6.81,4.04,2000,70.0
William Bartee,CB,Oklahoma,6-1,192.0,4.43,38.5,,124.0,6.7,3.99,2000,73.0
Robert Bean,CB,Mississippi State,5-11,178.0,4.5,34.5,,122.0,6.87,4.2,2000,71.0
Anthony Becht,TE,West Virginia,6-6,270.0,4.78,33.5,,123.0,6.94,4.08,2000,78.0
Rogers Beckett,S,Marshall,6-1,207.0,4.62,39.5,15.0,119.0,6.48,4.29,2000,73.0
Matt Bowen,S,Iowa,6-1,201.0,4.49,33.0,12.0,115.0,7.06,4.09,2000,73.0
Tom Brady,QB,Michigan,6-4,211.0,5.28,24.5,,99.0,7.2,4.38,2000,76.0
Keith Brown,RB,UCLA,5-11,216.0,4.66,30.0,,117.0,6.64,4.08,2000,71.0
Demario Brown,RB,Utah State,6-0,217.0,4.72,31.0,,107.0,7.17,4.39,2000,72.0
Mike Brown,S,Nebraska,5-10,204.0,4.59,36.0,14.0,116.0,6.93,4.01,2000,70.0
Ralph Brown,CB,Nebraska,5-10,185.0,4.55,,10.0,,,,2000,70.0
Travis Brown,QB,Northern Arizona,6-3,218.0,5.01,29.0,,101.0,7.54,4.87,2000,75.0
Marc Bulger,QB,West Virginia,6-2,208.0,4.97,,,100.0,7.46,4.34,2000,74.0
Bill Burke,QB,Michigan State,6-4,206.0,5.03,28.5,,107.0,7.46,4.42,2000,76.0
Plaxico Burress,WR,Michigan State,6-5,231.0,4.59,33.0,,115.0,,,2000,77.0
David Byrd,CB,Syracuse,5-11,202.0,4.53,36.0,14.0,117.0,7.18,4.39,2000,71.0
Trung Canidate,RB,Arizona,5-11,193.0,4.41,,18.0,,,,2000,71.0
Giovanni Carmazzi,QB,Hofstra,6-3,224.0,4.74,36.5,,119.0,6.94,4.23,2000,75.0
Tyrone Carter,S,Minnesota,5-8,190.0,4.5,41.0,16.0,121.0,6.75,4.19,2000,68.0
Kwame Cavil,WR,Texas,6-2,208.0,4.54,39.5,,118.0,,,2000,74.0
Doug Chapman,RB,Marshall,5-10,215.0,4.56,38.5,16.0,128.0,6.84,4.2,2000,70.0
Ike Charlton,CB,Virginia Tech,5-11,205.0,4.47,,16.0,126.0,,,2000,71.0
Chrys Chukwuma,RB,Arkansas,6-1,232.0,4.56,,,115.0,,,2000,73.0
Chris Cole,WR,Texas A&M,6-0,191.0,4.37,37.5,,125.0,6.76,4.09,2000,72.0
Chris Coleman,WR,North Carolina State,6-0,211.0,4.61,32.5,,110.0,6.79,4.1,2000,72.0
Laveranues Coles,WR,Florida State,5-11,192.0,4.41,34.0,,115.0,6.89,4.39,2000,71.0
Ashley Cooper,S,Mississippi State,5-10,208.0,4.67,,16.0,117.0,,,2000,70.0
Renard Cox,CB,Maryland,5-11,192.0,4.68,38.0,13.0,111.0,7.1,,2000,71.0
Casey Crawford,TE,Virginia,6-6,244.0,4.83,,18.0,,,,2000,78.0
Sedrick Curry,CB,Texas A&M,6-1,197.0,4.44,39.0,,125.0,6.34,3.94,2000,73.0
Chris Daniels,WR,Purdue,6-3,217.0,4.74,33.0,,115.0,7.2,4.24,2000,75.0
