Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Reggie Austin,CB,Wake Forest,5-9,175.0,4.44,35.0,17.0,119.0,7.03,4.14,2000,69.0,0
Rashidi Barnes,S,Colorado,6-0,208.0,4.62,35.0,10.0,114.0,6.92,4.32,2000,72.0,0
David Barrett,CB,Arkansas,5-10,199.0,4.44,37.5,16.0,116.0,6.81,4.04,2000,70.0,0
Rogers Beckett,S,Marshall,6-1,207.0,4.62,39.5,15.0,119.0,6.48,4.29,2000,73.0,0
Matt Bowen,S,Iowa,6-1,201.0,4.49,33.0,12.0,115.0,7.06,4.09,2000,73.0,0
Mike Brown,S,Nebraska,5-10,204.0,4.59,36.0,14.0,116.0,6.93,4.01,2000,70.0,0
David Byrd,CB,Syracuse,5-11,202.0,4.53,36.0,14.0,117.0,7.18,4.39,2000,71.0,0
Tyrone Carter,S,Minnesota,5-8,190.0,4.5,41.0,16.0,121.0,6.75,4.19,2000,68.0,0
Doug Chapman,RB,Marshall,5-10,215.0,4.56,38.5,16.0,128.0,6.84,4.2,2000,70.0,0
Joe Dean Davenport,TE,Arkansas,6-7,268.0,5.06,30.0,13.0,108.0,7.33,4.67,2000,79.0,1
Darren Davis,RB,Iowa State,5-8,189.0,4.81,32.0,13.0,109.0,7.04,4.47,2000,68.0,1
Reuben Droughns,RB,Oregon,5-11,215.0,4.66,30.0,13.0,115.0,7.34,4.41,2000,71.0,1
Zeron Flemister,TE,Iowa,6-4,249.0,4.72,37.0,14.0,116.0,6.92,4.16,2000,76.0,1
Derrick Foster,RB,Texas A&M-Kingsville,5-11,201.0,4.43,34.5,19.0,117.0,6.84,4.36,2000,71.0,0
Arturo Freeman,S,South Carolina,6-0,188.0,4.5,35.5,14.0,124.0,6.91,4.38,2000,72.0,0
Trent Gamble,S,Wyoming,5-9,186.0,4.56,37.0,21.0,124.0,6.6,3.9,2000,69.0,0
Jason Gavadza,TE,Kent State,6-3,249.0,4.62,32.5,22.0,113.0,7.15,4.3,2000,75.0,1
Lamar Grant,CB,Duke,5-11,188.0,4.62,32.0,16.0,117.0,7.3,4.3,2000,71.0,0
Brian Gray,CB,BYU,6-1,214.0,4.94,33.5,19.0,116.0,7.38,4.24,2000,73.0,1
Dante' Hall,RB,Texas A&M,5-8,191.0,4.44,38.0,18.0,123.0,6.62,3.82,2000,68.0,0
Troy Hambrick,RB,South Carolina,6-0,237.0,4.66,34.5,21.0,118.0,7.48,4.44,2000,72.0,1
Thomas Hamner,RB,Minnesota,6-0,197.0,4.5,32.0,17.0,125.0,6.97,4.07,2000,72.0,0
Antwan Harris,CB,Virginia,5-9,186.0,4.34,39.0,16.0,121.0,6.75,4.01,2000,69.0,0
Lloyd Harrison,CB,North Carolina State,5-10,190.0,4.5,37.5,16.0,119.0,7.12,4.25,2000,70.0,0
Marlion Jackson,RB,Saginaw Valley State,6-1,242.0,4.6,35.5,24.0,125.0,7.15,4.14,2000,73.0,0
Brandon Jennings,S,Texas A&M,6-0,198.0,4.51,38.0,16.0,123.0,6.91,4.14,2000,72.0,0
Eric Johnson,S,Yale,6-0,215.0,4.6,38.0,12.0,121.0,6.96,4.17,2000,72.0,0
John Jones,TE,Pittsburgh,6-4,248.0,4.63,38.5,13.0,125.0,7.33,4.43,2000,76.0,1
Morgan Kane,RB,Wake Forest,6-1,221.0,4.62,37.5,29.0,121.0,6.81,4.16,2000,73.0,0
Curtis Keaton,RB,West Virginia,5-10,214.0,4.41,41.5,23.0,131.0,6.82,3.93,2000,70.0,0
Tinker Keck,S,Cincinnati,6-1,200.0,4.55,36.5,15.0,120.0,6.96,4.31,2000,73.0,0
Ben Kelly,CB,Colorado,5-9,183.0,4.53,36.0,17.0,116.0,6.63,3.95,2000,69.0,0
Kenoy Kennedy,S,Arkansas,6-1,221.0,4.71,33.5,8.0,113.0,7.08,4.38,2000,73.0,1
Anthony Malbrough,CB,Texas Tech,5-9,184.0,4.44,35.5,20.0,117.0,6.73,4.0,2000,69.0,0
Erik Olson,S,Colorado State,6-1,208.0,4.63,35.0,17.0,115.0,6.81,4.21,2000,73.0,0
Hank Poteat,CB,Pittsburgh,5-10,197.0,4.57,37.0,16.0,126.0,6.66,4.0,2000,70.0,0
Travis Prentice,RB,Miami (OH),6-0,225.0,4.5,37.0,23.0,115.0,6.92,4.4,2000,72.0,0
Phillip Rogers,RB,Georgia Tech,6-1,232.0,4.68,37.0,19.0,124.0,7.21,4.31,2000,73.0,1
Ketric Sanford,RB,Houston,5-7,199.0,4.6,32.0,12.0,118.0,6.63,4.3,2000,67.0,0
Tony Scott,CB,North Carolina State,5-10,193.0,4.5,34.0,11.0,116.0,7.45,4.24,2000,70.0,0
Dwyte Smiley,S,Youngstown State,6-1,198.0,4.57,35.0,13.0,115.0,7.18,4.29,2000,73.0,0
Rashon Spikes,RB,Boise State,5-10,204.0,4.78,33.0,13.0,113.0,7.18,4.47,2000,70.0,1
Dave Stachelski,TE,Boise State,6-3,250.0,4.78,38.0,24.0,115.0,6.84,4.14,2000,75.0,1
Shyrone Stith,RB,Virginia Tech,5-7,204.0,4.6,35.0,13.0,111.0,7.14,4.14,2000,67.0,0
Travares Tillman,S,Georgia Tech,6-1,194.0,4.6,37.5,15.0,123.0,6.95,4.29,2000,73.0,0
Darrick Vaughn,CB,Texas State,5-11,196.0,4.53,36.5,14.0,121.0,7.09,4.16,2000,71.0,0
Jason Webster,CB,Texas A&M,5-9,180.0,4.42,35.5,17.0,122.0,6.76,3.98,2000,69.0,0
Damen Wheeler,CB,Colorado,5-9,179.0,4.51,35.0,11.0,115.0,7.21,4.27,2000,69.0,0
Jerard White,CB,Massachusetts,6-1,213.0,4.61,38.5,14.0,118.0,6.96,4.53,2000,73.0,0
Jack Williams,S,Azusa Pacific,5-10,206.0,4.72,31.5,15.0,108.0,7.15,4.65,2000,70.0,1
Destry Wright,RB,Jackson State,5-11,216.0,4.84,29.5,15.0,112.0,7.15,4.41,2000,71.0,1
Will Allen,CB,Syracuse,5-10,192.0,4.44,39.5,14.0,121.0,6.78,3.9,2001,70.0,0
Billy Baber,TE,Virginia,6-4,255.0,4.76,33.0,22.0,106.0,7.12,4.19,2001,76.0,1
Idrees Bashir,S,Memphis,6-2,206.0,4.56,40.0,22.0,126.0,7.14,4.2,2001,74.0,0
Harold Blackmon,CB,Northwestern,5-11,210.0,4.54,37.0,17.0,121.0,7.03,4.28,2001,71.0,0
Derrick Blaylock,RB,Stephen F. Austin,5-10,194.0,4.36,35.5,18.0,119.0,7.05,4.09,2001,70.0,0
Sean Brewer,TE,San Jose State,6-4,255.0,4.73,36.0,14.0,117.0,7.37,4.18,2001,76.0,1
Kenny Bryant,CB,Jackson State,5-11,190.0,4.65,37.5,10.0,117.0,7.5,4.15,2001,71.0,0
Correll Buckhalter,RB,Nebraska,6-0,226.0,4.53,40.0,11.0,123.0,7.08,4.06,2001,72.0,0
